Device Name,Date,Temperature (DegC),,Flow Rate (USGPM),TR
,,CHWR,CHWS,Flow,Load
BTU-426,2/17/2017 6:10,22.15,18.49,99.3,26.8
BTU-427,2/17/2017 6:05,21.53,18.51,113.1,25.2
BTU-428,2/17/2017 6:05,22.07,18.37,99.5,27.1
BTU-429,2/17/2017 6:00,21.26,18.26,112.3,24.8
BTU-430,2/17/2017 6:00,22.07,18.37,99.5,27.1
BTU-431,2/17/2017 5:55,21.43,18.34,114,26
BTU-432,2/17/2017 5:55,22.07,18.33,100.4,27.7
BTU-433,2/17/2017 5:50,21.34,18.25,114,26
BTU-434,2/17/2017 5:50,22.14,18.34,98.2,27.5
BTU-435,2/17/2017 5:45,21.36,18.35,112.2,24.9
BTU-436,2/17/2017 5:45,22.11,18.4,99.7,27.3
BTU-437,2/17/2017 5:40,21.29,18.29,113.5,25
BTU-438,2/17/2017 5:40,22.1,18.36,99.8,27.5
BTU-439,2/17/2017 5:35,21.4,18.37,110.6,24.7
BTU-440,2/17/2017 5:35,22.09,18.29,95.2,26.6
BTU-441,2/17/2017 5:30,21.37,18.33,115.4,25.9
BTU-442,2/17/2017 5:30,22.2,18.35,98.8,28
BTU-443,2/17/2017 5:25,21.48,18.25,108.2,25.8
BTU-444,2/17/2017 5:25,22.25,18.36,94.3,27
BTU-445,2/17/2017 5:20,21.52,18.27,106.3,25.5
BTU-446,2/17/2017 5:20,22.36,18.45,91.4,26.3
BTU-447,2/17/2017 5:15,21.63,18.53,107.7,24.6
BTU-448,2/17/2017 5:15,22.21,18.46,93.1,25.7
BTU-449,2/17/2017 5:10,21.44,18.4,114.4,25.6
BTU-450,2/17/2017 5:10,22.13,18.44,98.9,26.9
BTU-451,2/17/2017 5:05,21.32,18.32,115.6,25.5
BTU-452,2/17/2017 5:05,22.1,18.46,99.5,26.6
BTU-453,2/17/2017 5:00,21.33,18.37,114.4,24.8
BTU-454,2/17/2017 5:00,22.15,18.51,98.7,26.5
BTU-455,2/17/2017 4:55,21.32,18.35,112.6,24.6
BTU-456,2/17/2017 4:55,22.1,18.42,98.2,26.6
BTU-457,2/17/2017 4:50,21.29,18.32,118.2,25.9
BTU-458,2/17/2017 4:50,22.15,18.49,98.1,26.5
BTU-459,2/17/2017 4:45,21.35,18.37,114.9,25.2
BTU-460,2/17/2017 4:45,22.11,18.49,99.3,26.5
BTU-461,2/17/2017 4:40,21.33,18.36,113.6,24.9
BTU-462,2/17/2017 4:40,22.07,18.46,99.5,26.4
BTU-463,2/17/2017 4:35,21.44,18.48,115.1,25.1
BTU-464,2/17/2017 4:35,22.07,18.46,98.3,26.1
BTU-465,2/17/2017 4:30,21.35,18.45,112.6,24.1
BTU-466,2/17/2017 4:30,22.12,18.42,99.3,27.1
BTU-467,2/17/2017 4:25,21.3,18.33,113.1,24.8
BTU-468,2/17/2017 4:25,22.04,18.27,99.6,27.7
BTU-469,2/17/2017 4:20,21.35,18.34,114.2,25.3
BTU-470,2/17/2017 4:20,22.11,18.32,98.9,27.6
BTU-471,2/17/2017 4:15,21.3,18.17,113.6,26.2
BTU-472,2/17/2017 4:15,22.19,18.31,100.1,28.6
BTU-473,2/17/2017 4:10,21.71,18.45,103.3,24.7
BTU-474,2/17/2017 4:10,22.27,18.48,91.6,25.6
BTU-475,2/17/2017 4:05,21.32,18.35,106.4,23.3
BTU-476,2/17/2017 4:05,22.15,18.51,92.4,24.8
BTU-477,2/17/2017 4:00,21.43,18.45,110.6,24.2
BTU-478,2/17/2017 4:00,22.08,18.44,99.9,26.8
BTU-479,2/17/2017 3:55,21.37,18.4,114.6,25.1
BTU-480,2/17/2017 3:55,22.16,18.54,99.2,26.4
BTU-481,2/17/2017 3:50,21.55,18.6,114.2,24.8
BTU-482,2/17/2017 3:50,22.17,18.58,99.2,26.2
BTU-483,2/17/2017 3:45,21.44,18.54,114.1,24.4
BTU-484,2/17/2017 3:45,22.15,18.54,98.6,26.2
BTU-485,2/17/2017 3:40,21.51,18.54,113.4,24.8
BTU-486,2/17/2017 3:40,22.13,18.51,99.4,26.5
BTU-487,2/17/2017 3:35,21.58,18.59,116.8,25.7
BTU-488,2/17/2017 3:35,22.16,18.54,98.6,26.2
BTU-489,2/17/2017 3:30,21.51,18.54,116.1,25.3
BTU-490,2/17/2017 3:30,22.16,18.53,99.6,26.6
BTU-491,2/17/2017 3:25,21.51,18.48,112.9,25.2
BTU-492,2/17/2017 3:25,22.15,18.48,99.3,26.8
BTU-493,2/17/2017 3:20,21.24,18.45,115.7,23.7
BTU-494,2/17/2017 3:20,22,18.5,99,25.5
BTU-495,2/17/2017 3:15,21.41,18.45,124,27.1
BTU-496,2/17/2017 3:15,22.24,18.64,108.1,28.7
BTU-497,2/17/2017 3:10,21.5,18.4,110.4,25.2
BTU-498,2/17/2017 3:10,22.22,18.52,97.9,26.7
BTU-499,2/17/2017 3:05,21.43,18.41,112.9,25.1
BTU-500,2/17/2017 3:05,22.22,18.5,95.7,26.2
BTU-501,2/17/2017 3:00,21.57,18.36,97.1,22.9
BTU-502,2/17/2017 3:00,22.29,18.57,86.5,23.7
BTU-503,2/17/2017 2:55,21.47,18.42,109,24.5
BTU-504,2/17/2017 2:55,22.29,18.6,96.6,26.3
BTU-505,2/17/2017 2:50,21.68,18.62,109,24.6
BTU-506,2/17/2017 2:50,22.22,18.58,94.6,25.4
BTU-507,2/17/2017 2:45,21.75,18.67,110.2,25
BTU-508,2/17/2017 2:45,22.29,18.57,97,26.6
BTU-509,2/17/2017 2:40,21.69,18.48,109.9,26
BTU-510,2/17/2017 2:40,22.41,18.6,96.1,27
BTU-511,2/17/2017 2:35,21.83,18.78,111.2,25
BTU-512,2/17/2017 2:35,22.42,18.75,95.6,25.9
BTU-513,2/17/2017 2:30,21.73,18.69,108,24.2
BTU-514,2/17/2017 2:30,22.36,18.75,95.8,25.5
BTU-515,2/17/2017 2:25,21.91,18.85,113.3,25.5
BTU-516,2/17/2017 2:25,22.46,18.84,95.9,25.6
BTU-517,2/17/2017 2:20,21.65,18.67,111.2,24.4
BTU-518,2/17/2017 2:20,22.41,18.85,95.9,25.2
BTU-519,2/17/2017 2:15,21.88,18.84,114.6,25.7
BTU-520,2/17/2017 2:15,22.44,18.91,97.1,25.3
BTU-521,2/17/2017 2:10,21.79,18.82,110,24.1
BTU-522,2/17/2017 2:10,22.37,18.81,96.4,25.3
BTU-523,2/17/2017 2:05,21.88,18.91,109.9,24.1
BTU-524,2/17/2017 2:05,22.47,18.92,96.5,25.2
BTU-525,2/17/2017 2:00,21.88,18.93,112.5,24.5
BTU-526,2/17/2017 2:00,22.31,18.73,95.3,25.2
BTU-527,2/17/2017 1:55,21.68,18.7,113.4,24.8
BTU-528,2/17/2017 1:55,22.32,18.77,96.1,25.1
BTU-529,2/17/2017 1:50,21.47,18.41,111.5,25.1
BTU-530,2/17/2017 1:50,22.23,18.62,95.7,25.5
BTU-531,2/17/2017 1:45,21.48,18.44,109.2,24.5
BTU-532,2/17/2017 1:45,22.37,18.43,96.3,28
BTU-533,2/17/2017 1:40,21.79,18.49,112,27.2
BTU-534,2/17/2017 1:40,22.71,18.73,96.7,28.4
BTU-535,2/17/2017 1:35,22.07,18.87,99.4,23.4
BTU-536,2/17/2017 1:35,22.64,18.95,87.3,23.7
BTU-537,2/17/2017 1:30,21.76,18.87,101.2,21.5
BTU-538,2/17/2017 1:30,22.39,18.93,87.6,22.3
BTU-539,2/17/2017 1:25,21.63,18.76,110,23.2
BTU-540,2/17/2017 1:25,22.41,18.85,97,25.5
BTU-541,2/17/2017 1:20,21.74,18.67,111.7,25.3
BTU-542,2/17/2017 1:20,22.44,18.62,96.4,27.1
BTU-543,2/17/2017 1:15,21.9,18.74,110.1,25.6
BTU-544,2/17/2017 1:15,22.68,18.73,97.1,28.3
BTU-545,2/17/2017 1:10,22.08,18.7,111,27.6
BTU-546,2/17/2017 1:10,22.73,18.7,95.6,28.4
BTU-547,2/17/2017 1:05,21.58,18.46,103.2,23.6
BTU-548,2/17/2017 1:05,22.57,18.64,86.7,25.1
BTU-549,2/17/2017 1:00,21.81,18.6,111.8,26.4
BTU-550,2/17/2017 1:00,22.64,18.91,96.3,26.5
BTU-551,2/17/2017 0:55,22.11,18.76,105.2,26
BTU-552,2/17/2017 0:55,22.75,18.79,90.2,26.3
BTU-553,2/17/2017 0:50,21.74,18.66,105.1,23.8
BTU-554,2/17/2017 0:50,22.63,18.65,91.4,26.8
BTU-555,2/17/2017 0:45,22.03,18.9,110,25.4
BTU-556,2/17/2017 0:45,22.77,18.92,95.4,27.1
BTU-557,2/17/2017 0:40,22.16,18.91,103.6,24.8
BTU-558,2/17/2017 0:40,22.8,19.01,91.6,25.6
BTU-559,2/17/2017 0:35,21.65,18.66,104.6,23
BTU-560,2/17/2017 0:35,22.46,18.71,90.2,24.8
BTU-561,2/17/2017 0:30,21.68,18.59,112.6,25.6
BTU-562,2/17/2017 0:30,22.72,18.73,97.5,28.7
BTU-563,2/17/2017 0:25,22.02,18.76,108.8,26.1
BTU-564,2/17/2017 0:25,22.82,18.96,95.9,27.2
BTU-565,2/17/2017 0:20,22.17,18.95,104.1,24.7
BTU-566,2/17/2017 0:20,22.8,19.04,91.6,25.3
BTU-567,2/17/2017 0:15,21.73,18.75,106,23.3
BTU-568,2/17/2017 0:15,22.56,18.79,89.7,24.9
BTU-569,2/17/2017 0:10,21.91,18.81,108.2,24.7
BTU-570,2/17/2017 0:10,22.64,18.75,94.9,27.2
BTU-571,2/17/2017 0:05,22.1,18.79,112.4,27.4
BTU-572,2/17/2017 0:05,22.62,18.79,95.7,27
BTU-573,2/17/2017 0:00,21.97,18.79,111.2,26
BTU-574,2/17/2017 0:00,22.7,18.73,94.9,27.8
