Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-2,7/3/2017 6:45,20.07,15.98,96.8,29.2
BTU-1,7/3/2017 6:40,19.07,15.8,111.8,26.9
BTU-2,7/3/2017 6:40,20.07,15.86,97,30.1
BTU-1,7/3/2017 6:35,19.06,15.77,111.1,26.9
BTU-2,7/3/2017 6:35,20.14,15.84,96.4,30.6
BTU-1,7/3/2017 6:30,19.17,15.78,111.7,27.9
BTU-2,7/3/2017 6:30,20.23,15.92,95.6,30.4
BTU-1,7/3/2017 6:25,19.29,15.96,109.4,26.9
BTU-2,7/3/2017 6:25,20.24,16.06,96.2,29.7
BTU-1,7/3/2017 6:20,19.23,16.07,108.8,25.3
BTU-2,7/3/2017 6:20,20.09,16.12,95.8,28
BTU-1,7/3/2017 6:15,19.14,15.86,111.1,26.9
BTU-2,7/3/2017 6:15,20.11,15.92,96.5,29.8
BTU-1,7/3/2017 6:10,19.17,15.86,108.6,26.5
BTU-2,7/3/2017 6:10,20.17,15.94,96.9,30.2
BTU-1,7/3/2017 6:05,19.17,15.86,114.7,28
BTU-2,7/3/2017 6:05,20.18,15.97,94.3,29.3
BTU-1,7/3/2017 6:00,19.18,15.91,111.3,26.8
BTU-2,7/3/2017 6:00,20.23,16.02,96,29.8
BTU-1,7/3/2017 5:55,19.29,15.97,111.7,27.4
BTU-2,7/3/2017 5:55,20.26,16.04,95.8,29.8
BTU-1,7/3/2017 5:50,19.32,16.02,112.2,27.3
BTU-2,7/3/2017 5:50,20.27,16.1,96.1,29.5
BTU-1,7/3/2017 5:45,19.35,16.02,113.5,27.9
BTU-2,7/3/2017 5:45,20.29,16.11,94.7,29.2
BTU-1,7/3/2017 5:40,19.35,16.04,108.9,26.6
BTU-2,7/3/2017 5:40,20.29,16.12,97.1,29.8
BTU-1,7/3/2017 5:35,19.35,16.03,110.8,27.1
BTU-2,7/3/2017 5:35,20.34,16.11,96.2,30
BTU-1,7/3/2017 5:30,19.41,16.04,113.6,28.1
BTU-2,7/3/2017 5:30,20.42,16.17,96.3,30.2
BTU-1,7/3/2017 5:25,19.46,16.16,111.2,27.1
BTU-2,7/3/2017 5:25,20.45,16.28,94.5,29.1
BTU-1,7/3/2017 5:20,19.51,16.19,106.3,26
BTU-2,7/3/2017 5:20,20.54,16.33,96.8,30
BTU-1,7/3/2017 5:15,19.62,16.34,111.1,26.9
BTU-2,7/3/2017 5:15,20.56,16.43,96.7,29.4
BTU-1,7/3/2017 5:10,19.62,16.37,110.4,26.5
BTU-2,7/3/2017 5:10,20.52,16.45,95.6,28.7
BTU-1,7/3/2017 5:05,19.61,16.34,112.5,27.1
BTU-2,7/3/2017 5:05,20.48,16.42,96.7,28.9
BTU-1,7/3/2017 5:00,19.58,16.29,112,27.1
BTU-2,7/3/2017 5:00,20.48,16.36,95.9,29.1
BTU-1,7/3/2017 4:55,19.56,16.27,111.4,27
BTU-2,7/3/2017 4:55,20.52,16.35,95.1,29.2
BTU-1,7/3/2017 4:50,19.57,16.26,111.8,27.3
BTU-2,7/3/2017 4:50,20.57,16.37,94.8,29.3
BTU-1,7/3/2017 4:45,19.68,16.29,108.7,27.2
BTU-2,7/3/2017 4:45,20.61,16.41,96.5,29.9
BTU-1,7/3/2017 4:40,19.7,16.41,112.4,27.3
BTU-2,7/3/2017 4:40,20.63,16.51,95.7,29
BTU-1,7/3/2017 4:35,19.76,16.45,109.7,26.8
BTU-2,7/3/2017 4:35,20.63,16.54,96.3,29
BTU-1,7/3/2017 4:30,19.74,16.48,110.3,26.5
BTU-2,7/3/2017 4:30,20.65,16.51,95.8,29.2
BTU-1,7/3/2017 4:25,19.75,16.44,110.2,26.9
BTU-2,7/3/2017 4:25,20.72,16.54,97.8,30.1
BTU-1,7/3/2017 4:20,19.79,16.48,110.9,27.1
BTU-2,7/3/2017 4:20,20.77,16.6,96.6,29.7
BTU-1,7/3/2017 4:15,19.89,16.62,112.2,27
BTU-2,7/3/2017 4:15,20.85,16.7,95.7,29.3
BTU-1,7/3/2017 4:10,19.99,16.74,107.4,25.7
BTU-2,7/3/2017 4:10,20.88,16.78,95.9,29
BTU-1,7/3/2017 4:05,20.02,16.79,111.1,26.4
BTU-2,7/3/2017 4:05,20.88,16.87,96,28.4
BTU-1,7/3/2017 4:00,20,16.76,112.1,26.8
BTU-2,7/3/2017 4:00,20.95,16.81,96.6,29.5
BTU-1,7/3/2017 3:55,20.08,16.79,110,26.6
BTU-2,7/3/2017 3:55,21.12,16.89,95.8,29.9
BTU-1,7/3/2017 3:50,20.36,16.98,111.8,27.8
BTU-2,7/3/2017 3:50,21.35,17.14,96.4,29.9
BTU-1,7/3/2017 3:45,20.57,17.31,110.7,26.6
BTU-2,7/3/2017 3:45,21.14,17.6,96.9,25.3
BTU-1,7/3/2017 3:40,20.41,17.42,111.7,24.6
BTU-2,7/3/2017 3:40,20.76,17.42,95.5,23.5
BTU-1,7/3/2017 3:35,19.79,17.07,112.2,22.5
BTU-2,7/3/2017 3:35,20.48,16.91,96.4,25.4
BTU-1,7/3/2017 3:30,19.59,16.41,110,25.8
BTU-2,7/3/2017 3:30,20.49,16.43,95.3,28.5
BTU-1,7/3/2017 3:25,19.67,16.35,107.5,26.3
BTU-2,7/3/2017 3:25,20.48,16.4,97.5,29.3
BTU-1,7/3/2017 3:20,19.62,16.52,109,25
BTU-2,7/3/2017 3:20,20.12,16.6,95.9,24.9
BTU-1,7/3/2017 3:15,19.2,15.92,104.8,25.4
BTU-2,7/3/2017 3:15,20.12,15.9,93,28.9
BTU-1,7/3/2017 3:10,19.12,15.75,104.5,26
BTU-2,7/3/2017 3:10,20.04,15.84,91.3,28.3
BTU-1,7/3/2017 3:05,19.04,15.72,111.4,27.3
BTU-2,7/3/2017 3:05,20.04,15.83,95.8,29.7
BTU-1,7/3/2017 3:00,19.08,15.76,108.9,26.7
BTU-2,7/3/2017 3:00,20.06,15.87,96.7,29.9
BTU-1,7/3/2017 2:55,19.12,15.82,110.2,26.9
BTU-2,7/3/2017 2:55,20.12,15.9,96,29.9
BTU-1,7/3/2017 2:50,19.19,15.89,107.4,26.1
BTU-2,7/3/2017 2:50,20.16,16,95.8,29.4
BTU-1,7/3/2017 2:45,19.19,15.91,110.1,26.6
BTU-2,7/3/2017 2:45,20.14,15.99,96,29.4
BTU-1,7/3/2017 2:40,19.2,15.94,112.1,26.9
BTU-2,7/3/2017 2:40,20.2,15.98,95.8,29.9
BTU-1,7/3/2017 2:35,19.34,15.89,109.6,27.9
BTU-2,7/3/2017 2:35,20.4,16.02,95.7,30.9
BTU-1,7/3/2017 2:30,19.73,16.12,110.9,29.5
BTU-2,7/3/2017 2:30,20.55,16.33,94.4,29.4
BTU-1,7/3/2017 2:25,19.89,16.32,98.1,25.8
BTU-2,7/3/2017 2:25,20.17,16.58,85.9,22.7
BTU-1,7/3/2017 2:20,19.32,16.11,98,23.2
BTU-2,7/3/2017 2:20,20.04,15.87,85.2,26.2
BTU-1,7/3/2017 2:15,19.15,15.57,100.6,26.5
BTU-2,7/3/2017 2:15,19.96,15.67,85,26.9
BTU-1,7/3/2017 2:10,19.01,15.56,105.2,26.7
BTU-2,7/3/2017 2:10,19.96,15.66,91.4,29
BTU-1,7/3/2017 2:05,19.15,15.66,107.3,27.6
BTU-2,7/3/2017 2:05,20.08,15.82,94.3,29.6
BTU-1,7/3/2017 2:00,19.31,15.75,103.5,27.1
BTU-2,7/3/2017 2:00,20.16,15.86,90.7,28.7
BTU-1,7/3/2017 1:55,19.33,15.81,100.3,26
BTU-2,7/3/2017 1:55,20.08,15.88,86.6,26.8
BTU-1,7/3/2017 1:50,19.14,15.82,109,26.7
BTU-2,7/3/2017 1:50,20.03,15.87,94.6,29
BTU-1,7/3/2017 1:45,19.19,15.77,110.9,28
BTU-2,7/3/2017 1:45,20.11,15.89,95.3,29.6
BTU-1,7/3/2017 1:40,19.35,15.81,109,28.5
BTU-2,7/3/2017 1:40,20.24,15.92,92.3,29.4
BTU-1,7/3/2017 1:35,19.45,15.88,103.7,27.3
BTU-2,7/3/2017 1:35,20.19,15.98,88.7,27.5
BTU-1,7/3/2017 1:30,19.17,15.84,100.1,24.6
BTU-2,7/3/2017 1:30,20.02,15.88,89.2,27.2
BTU-1,7/3/2017 1:25,19.1,15.76,109.2,26.9
BTU-2,7/3/2017 1:25,20.04,15.82,96.8,30.2
BTU-1,7/3/2017 1:20,19.17,15.75,108.7,27.4
BTU-2,7/3/2017 1:20,20.25,15.8,96.2,31.6
BTU-1,7/3/2017 1:15,19.53,15.86,108.9,29.4
BTU-2,7/3/2017 1:15,20.42,15.94,93.8,31
BTU-1,7/3/2017 1:10,19.69,16.12,99.7,26.2
BTU-2,7/3/2017 1:10,20.08,16.24,86.3,24.4
BTU-1,7/3/2017 1:05,19.14,15.84,99.7,24.3
BTU-2,7/3/2017 1:05,19.98,15.65,85.1,27.2
BTU-1,7/3/2017 1:00,19.11,15.42,99.4,27
BTU-2,7/3/2017 1:00,19.99,15.46,85.3,28.5
BTU-1,7/3/2017 0:55,19.1,15.38,100.1,27.4
BTU-2,7/3/2017 0:55,20.01,15.46,85.8,28.8
BTU-1,7/3/2017 0:50,19.15,15.43,100.1,27.4
BTU-2,7/3/2017 0:50,20.03,15.51,85.5,28.5
BTU-1,7/3/2017 0:45,19.11,15.44,98.7,26.7
BTU-2,7/3/2017 0:45,20.02,15.56,85.9,28.3
BTU-1,7/3/2017 0:40,19.18,15.49,101.3,27.6
BTU-2,7/3/2017 0:40,20.04,15.61,88.7,29
BTU-1,7/3/2017 0:35,19.24,15.56,99.4,26.9
BTU-2,7/3/2017 0:35,20.08,15.61,87.3,28.8
BTU-1,7/3/2017 0:30,19.19,15.54,100,26.9
BTU-2,7/3/2017 0:30,20.04,15.61,85.4,27.9
BTU-1,7/3/2017 0:25,19.12,15.53,95.7,25.4
BTU-2,7/3/2017 0:25,19.99,15.6,84.6,27.4
BTU-1,7/3/2017 0:20,19.15,15.53,102.3,27.3
BTU-2,7/3/2017 0:20,20.04,15.61,88.5,28.9
BTU-1,7/3/2017 0:15,19.26,15.58,101.2,27.4
BTU-2,7/3/2017 0:15,20.07,15.66,86.2,28
BTU-1,7/3/2017 0:10,19.24,15.55,98.9,26.9
BTU-2,7/3/2017 0:10,20.03,15.63,85.5,27.7
BTU-1,7/3/2017 0:05,19.17,15.49,98.9,26.8
BTU-2,7/3/2017 0:05,20.01,15.6,84.9,27.6
BTU-1,7/3/2017 0:00,19.19,15.46,98.3,27
BTU-2,7/3/2017 0:00,20.01,15.55,85.1,28
