Device Name,Date,CHWR (DegC),CHWS (DegC),Flow(USGPM),Load (TR)
BTU-1,7/3/2017 20:25,18.95,15.41,111.4,29.2
BTU-2,7/3/2017 20:25,20.03,15.5,96.5,32.2
BTU-1,7/3/2017 20:20,18.95,15.43,110.6,28.7
BTU-2,7/3/2017 20:20,20.04,15.49,97,32.5
BTU-1,7/3/2017 20:15,18.99,15.46,109.9,28.6
BTU-2,7/3/2017 20:15,20.08,15.47,96.9,32.9
BTU-1,7/3/2017 20:10,19.1,15.54,112.1,29.4
BTU-2,7/3/2017 20:10,20.23,15.59,96.9,33.2
BTU-1,7/3/2017 20:05,19.34,15.71,111.4,29.8
BTU-2,7/3/2017 20:05,20.27,15.95,96.4,30.7
BTU-1,7/3/2017 20:00,19.21,15.97,109,26.1
BTU-2,7/3/2017 20:00,19.99,16.01,98,28.8
BTU-1,7/3/2017 19:55,18.87,15.65,109.7,26.1
BTU-2,7/3/2017 19:55,19.6,15.67,97.1,28.1
BTU-1,7/3/2017 19:50,18.46,14.93,110.4,28.8
BTU-2,7/3/2017 19:50,19.64,14.97,96.4,33.2
BTU-1,7/3/2017 19:45,18.62,14.87,107,29.7
BTU-2,7/3/2017 19:45,19.76,14.99,93,32.7
BTU-1,7/3/2017 19:40,18.74,14.93,103.1,29
BTU-2,7/3/2017 19:40,19.83,15.02,90,31.9
BTU-1,7/3/2017 19:35,18.68,15.15,107.7,28
BTU-2,7/3/2017 19:35,19.71,15.33,95.3,30.9
BTU-1,7/3/2017 19:30,18.49,15.25,109.6,26.2
BTU-2,7/3/2017 19:30,19.4,15.49,97.2,28
BTU-1,7/3/2017 19:25,18.18,14.8,111.9,27.9
BTU-2,7/3/2017 19:25,19.35,14.87,97.5,32.2
BTU-1,7/3/2017 19:20,18.14,14.82,114.8,28.1
BTU-2,7/3/2017 19:20,19.42,14.86,97.7,32.8
BTU-1,7/3/2017 19:15,18.17,14.87,113.3,27.5
BTU-2,7/3/2017 19:15,19.52,14.97,97.9,32.8
BTU-1,7/3/2017 19:10,18.2,14.94,110.3,26.6
BTU-2,7/3/2017 19:10,19.58,15.06,97.6,32.5
BTU-1,7/3/2017 19:05,18.34,15.07,110.7,26.7
BTU-2,7/3/2017 19:05,19.64,15.19,96.7,31.7
BTU-1,7/3/2017 19:00,18.39,15.14,109.9,26.3
BTU-2,7/3/2017 19:00,19.75,15.27,96.7,31.9
BTU-1,7/3/2017 18:55,18.45,15.25,112.7,26.6
BTU-2,7/3/2017 18:55,19.79,15.38,97,31.5
BTU-1,7/3/2017 18:50,18.54,15.39,113.3,26.3
BTU-2,7/3/2017 18:50,19.9,15.44,97.1,31.9
BTU-1,7/3/2017 18:45,18.62,15.45,111.2,26
BTU-2,7/3/2017 18:45,20,15.51,97,32.1
BTU-1,7/3/2017 18:40,18.71,15.53,111.5,26.2
BTU-2,7/3/2017 18:40,20.09,15.65,97.1,31.8
BTU-1,7/3/2017 18:35,18.85,15.63,109.3,25.9
